city,date,temp_mean,humidity_mean,pressure_mean,wind_mean,temp_max,wind_max,mu_canicule,mu_froid,mu_vent,mu_pluie,mu_depression,mu_extreme,event_extreme,type_event
Tetouan,2014-10-08,15.556375000000022,80.625,1026.4583333333333,0.375,21.601333333000014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Agadir,2016-11-25,16.247500000000027,24.208333333333332,1018.25,1.25,24.460000000000036,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tetouan,2013-07-31,17.319166666666693,76.29166666666667,1017.0416666666666,0.9583333333333334,25.350000000000023,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Agadir,2013-11-06,13.803420138875024,27.875,1026.25,0.75,27.950000000000045,2.0,0.47727272727273024,0.0,0.0,0.0,0.0,0.47727272727273024,0,normal
Agadir,2014-07-31,24.734213377708357,72.54166666666667,1013.2916666666666,2.125,30.210000000000036,5.0,0.9442148760330613,0.0,0.0,0.0,1.0,0.9442148760330613,1,canicule
Agadir,2014-08-12,24.078270833333352,61.791666666666664,1026.375,0.2916666666666667,28.52666666700003,1.0,0.5964187328512398,0.0,0.0,0.0,0.0,0.5964187328512398,1,canicule
Agadir,2015-08-08,22.157916666666694,63.083333333333336,1013.5833333333334,2.75,27.720000000000027,6.0,0.42975206611570144,0.0,0.0,0.0,1.0,0.42975206611570144,0,normal
Agadir,2017-09-26,22.126250000000024,32.5,1008.5,1.4166666666666667,29.33000000000004,5.0,0.7623966942148795,0.0,0.0,0.5297297297297321,1.0,0.7623966942148795,1,canicule
Tetouan,2013-11-04,5.8617708333333525,99.25,1034.0,1.0,7.0090000000000146,2.0,0.0,0.35402084126123895,0.0,0.0,0.0,0.35402084126123895,0,normal
Tetouan,2014-03-31,7.027916666666688,75.79166666666667,1012.4166666666666,1.875,14.800000000000011,4.0,0.0,0.13886230237894814,0.0,0.021621621621631348,1.0,0.13886230237894814,0,normal
Tetouan,2014-08-07,20.548780932500023,61.5,1022.7083333333334,2.3333333333333335,28.0,6.0,0.48760330578511757,0.0,0.0,0.0,0.0,0.48760330578511757,0,normal
Agadir,2012-12-09,16.877916666666692,41.5,997.4166666666666,2.0,23.150000000000034,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1,forte_pluie
Agadir,2013-12-22,11.43645833333335,59.25,1014.125,0.875,19.100000000000023,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Agadir,2013-02-08,11.556250000000018,77.0,1019.125,0.5416666666666666,15.29000000000002,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Agadir,2017-01-08,15.788750000000034,52.583333333333336,1022.4166666666666,1.25,23.28000000000003,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Agadir,2016-08-10,22.441708333333352,66.25,999.9166666666666,0.375,31.04000000000002,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,canicule
Agadir,2014-07-29,24.84587500000002,48.166666666666664,1028.25,0.4583333333333333,31.433333333000007,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,canicule
Agadir,2017-06-05,19.399583333333357,80.45833333333333,1011.6666666666666,2.1666666666666665,24.730000000000018,5.0,0.0,0.0,0.0,0.11891891891892817,1.0,0.11891891891892817,0,normal
Agadir,2015-09-12,27.12166666666668,49.041666666666664,1013.0,1.5833333333333333,32.28000000000003,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1,canicule
Tetouan,2014-06-27,16.17969609354169,91.04166666666667,1016.625,1.0,21.510000000000048,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Agadir,2017-08-17,21.606250000000028,70.41666666666667,1015.0833333333334,0.8333333333333334,27.07000000000005,3.0,0.2954545454545484,0.0,0.0,0.0,1.0,0.2954545454545484,0,normal
Rabat,2016-11-12,17.55791666666669,67.625,1019.5,2.75,22.390000000000043,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Rabat,2017-01-22,11.099166666666688,85.04166666666667,999.6666666666666,4.541666666666667,13.700000000000045,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1,forte_pluie
Rabat,2016-11-26,10.987500000000027,81.54166666666667,1020.8333333333334,4.041666666666667,13.32000000000005,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Tetouan,2016-09-10,19.660416666666684,54.791666666666664,1020.3333333333334,1.6666666666666667,29.370000000000005,5.0,0.7706611570247894,0.0,0.0,0.0,1.0,0.7706611570247894,1,canicule
Rabat,2014-08-29,17.768479166666697,89.70833333333333,1026.3333333333333,1.2083333333333333,21.281666667000025,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Rabat,2012-11-12,9.487916666666692,62.208333333333336,1019.3333333333334,1.9583333333333333,14.560000000000002,7.0,0.0,0.0,0.5,0.0,1.0,0.5,1,vent_fort
Rabat,2013-10-01,14.939941666666689,87.5,1025.375,1.3333333333333333,20.74000000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Rabat,2015-05-10,11.889708333333354,90.95833333333333,1030.7083333333333,2.875,15.117666667000037,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Rabat,2012-12-30,7.632395833333352,71.91666666666667,1017.5833333333334,3.625,11.939999999999998,9.0,0.0,0.027333494774309873,1.0,0.0,1.0,1.0,1,vent_fort
Rabat,2013-08-01,16.81208333333335,83.5,1017.5416666666666,2.2083333333333335,23.49000000000001,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
